date,price
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,0
Jul 2010,95
Aug 2010,24
Sep 2010,24
Oct 2010,40
Nov 2010,76
Dec 2010,171
Jan 2011,120
Feb 2011,10
Mar 2011,1332
Apr 2011,17
May 2011,118
Jun 2011,118
Jul 2011,75
Aug 2011,187
Sep 2011,363
Oct 2011,455
Nov 2011,233
Dec 2011,164
Jan 2012,423
Feb 2012,394
Mar 2012,391
Apr 2012,296
May 2012,67
Jun 2012,135
Jul 2012,78
Aug 2012,574
Sep 2012,401
Oct 2012,341
Nov 2012,527
Dec 2012,435
Jan 2013,33
Feb 2013,232
Mar 2013,1216
Apr 2013,319
May 2013,132
Jun 2013,69
Jul 2013,844
Aug 2013,2392
Sep 2013,1375
Oct 2013,2250
Nov 2013,930
Dec 2013,2525
Jan 2014,566
Feb 2014,734
Mar 2014,891
Apr 2014,1061
May 2014,2759
Jun 2014,132
Jul 2014,1258
Aug 2014,443
Sep 2014,405
Oct 2014,578
Nov 2014,204
Dec 2014,42
