date,price
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,0
Jul 2010,0
Aug 2010,0
Sep 2010,0
Oct 2010,0
Nov 2010,0
Dec 2010,0
Jan 2011,0
Feb 2011,0
Mar 2011,0
Apr 2011,0
May 2011,0
Jun 2011,0
Jul 2011,0
Aug 2011,0
Sep 2011,0
Oct 2011,0
Nov 2011,67
Dec 2011,208
Jan 2012,0
Feb 2012,15
Mar 2012,0
Apr 2012,17
May 2012,92
Jun 2012,41
Jul 2012,231
Aug 2012,130
Sep 2012,2
Oct 2012,50
Nov 2012,83
Dec 2012,4
Jan 2013,79
Feb 2013,411
Mar 2013,30
Apr 2013,171
May 2013,69
Jun 2013,100
Jul 2013,4
Aug 2013,278
Sep 2013,157
Oct 2013,28
Nov 2013,28
Dec 2013,0
Jan 2014,3
Feb 2014,761
Mar 2014,89
Apr 2014,23
May 2014,21
Jun 2014,4
Jul 2014,1291
Aug 2014,37
Sep 2014,49
Oct 2014,105
Nov 2014,0
Dec 2014,576
