date,price
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,0
Jul 2010,0
Aug 2010,0
Sep 2010,0
Oct 2010,0
Nov 2010,0
Dec 2010,0
Jan 2011,0
Feb 2011,0
Mar 2011,0
Apr 2011,0
May 2011,0
Jun 2011,0
Jul 2011,0
Aug 2011,0
Sep 2011,141
Oct 2011,122
Nov 2011,135
Dec 2011,3
Jan 2012,35
Feb 2012,158
Mar 2012,345
Apr 2012,250
May 2012,94
Jun 2012,84
Jul 2012,363
Aug 2012,126
Sep 2012,250
Oct 2012,160
Nov 2012,105
Dec 2012,118
Jan 2013,194
Feb 2013,49
Mar 2013,272
Apr 2013,460
May 2013,67
Jun 2013,78
Jul 2013,266
Aug 2013,3895
Sep 2013,473
Oct 2013,766
Nov 2013,408
Dec 2013,1807
Jan 2014,122
Feb 2014,310
Mar 2014,1140
Apr 2014,916
May 2014,3594
Jun 2014,1523
Jul 2014,4298
Aug 2014,2968
Sep 2014,2046
Oct 2014,902
Nov 2014,721
Dec 2014,195
