date,price
Nov 2009,0
Dec 2009,16
Jan 2010,30
Feb 2010,260
Mar 2010,648
Apr 2010,739
May 2010,900
Jun 2010,607
Jul 2010,679
Aug 2010,1518
Sep 2010,1026
Oct 2010,688
Nov 2010,943
Dec 2010,794
Jan 2011,425
Feb 2011,258
Mar 2011,322
Apr 2011,342
May 2011,367
Jun 2011,391
Jul 2011,638
Aug 2011,762
Sep 2011,955
Oct 2011,650
Nov 2011,696
Dec 2011,1055
Jan 2012,967
Feb 2012,546
Mar 2012,559
Apr 2012,495
May 2012,1382
Jun 2012,192
Jul 2012,171
Aug 2012,79
Sep 2012,110
Oct 2012,6989
Nov 2012,593
Dec 2012,14
Jan 2013,258
Feb 2013,37
Mar 2013,184
Apr 2013,5091
May 2013,361
Jun 2013,389
Jul 2013,1456
Aug 2013,2218
Sep 2013,383
Oct 2013,2770
Nov 2013,3664
Dec 2013,2658
Jan 2014,2354
Feb 2014,1091
Mar 2014,3491
Apr 2014,1302
May 2014,11506
Jun 2014,6578
Jul 2014,7364
Aug 2014,8144
Sep 2014,10986
Oct 2014,5039
Nov 2014,3695
Dec 2014,2997
