date,price
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,0
Jul 2010,0
Aug 2010,0
Sep 2010,0
Oct 2010,0
Nov 2010,0
Dec 2010,0
Jan 2011,0
Feb 2011,0
Mar 2011,0
Apr 2011,0
May 2011,0
Jun 2011,0
Jul 2011,0
Aug 2011,0
Sep 2011,0
Oct 2011,0
Nov 2011,0
Dec 2011,0
Jan 2012,0
Feb 2012,0
Mar 2012,0
Apr 2012,0
May 2012,0
Jun 2012,0
Jul 2012,0
Aug 2012,0
Sep 2012,0
Oct 2012,62
Nov 2012,1919
Dec 2012,75
Jan 2013,138
Feb 2013,0
Mar 2013,0
Apr 2013,0
May 2013,0
Jun 2013,0
Jul 2013,0
Aug 2013,356
Sep 2013,929
Oct 2013,494
Nov 2013,30
Dec 2013,32
Jan 2014,0
Feb 2014,0
Mar 2014,11
Apr 2014,0
May 2014,29
Jun 2014,99
Jul 2014,17
Aug 2014,12
Sep 2014,1
Oct 2014,11
Nov 2014,449
Dec 2014,280
