date,price
Nov 2009,0
Dec 2009,11
Jan 2010,1
Feb 2010,9
Mar 2010,9
Apr 2010,22
May 2010,33
Jun 2010,20
Jul 2010,6
Aug 2010,24
Sep 2010,8
Oct 2010,10
Nov 2010,6
Dec 2010,43
Jan 2011,0
Feb 2011,13
Mar 2011,27
Apr 2011,39
May 2011,27
Jun 2011,9
Jul 2011,4
Aug 2011,23
Sep 2011,18
Oct 2011,24
Nov 2011,72
Dec 2011,32
Jan 2012,10
Feb 2012,56
Mar 2012,101
Apr 2012,67
May 2012,122
Jun 2012,48
Jul 2012,16
Aug 2012,102
Sep 2012,13
Oct 2012,11
Nov 2012,67
Dec 2012,33
Jan 2013,34
Feb 2013,26
Mar 2013,67
Apr 2013,150
May 2013,67
Jun 2013,94
Jul 2013,55
Aug 2013,234
Sep 2013,7
Oct 2013,6
Nov 2013,72
Dec 2013,86
Jan 2014,11
Feb 2014,10
Mar 2014,167
Apr 2014,52
May 2014,295
Jun 2014,62
Jul 2014,65
Aug 2014,1012
Sep 2014,28
Oct 2014,34
Nov 2014,175
Dec 2014,0
