date,price
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,0
Jul 2010,0
Aug 2010,0
Sep 2010,0
Oct 2010,0
Nov 2010,0
Dec 2010,0
Jan 2011,0
Feb 2011,1
Mar 2011,0
Apr 2011,0
May 2011,0
Jun 2011,0
Jul 2011,0
Aug 2011,0
Sep 2011,0
Oct 2011,34
Nov 2011,53
Dec 2011,75
Jan 2012,11
Feb 2012,102
Mar 2012,98
Apr 2012,0
May 2012,122
Jun 2012,49
Jul 2012,14
Aug 2012,318
Sep 2012,0
Oct 2012,14
Nov 2012,878
Dec 2012,259
Jan 2013,36
Feb 2013,32
Mar 2013,436
Apr 2013,753
May 2013,978
Jun 2013,314
Jul 2013,26
Aug 2013,522
Sep 2013,0
Oct 2013,31
Nov 2013,827
Dec 2013,275
Jan 2014,19
Feb 2014,17
Mar 2014,569
Apr 2014,785
May 2014,115
Jun 2014,300
Jul 2014,231
Aug 2014,2511
Sep 2014,19
Oct 2014,29
Nov 2014,788
Dec 2014,0
