date,price
Feb 2003,1
Mar 2003,1
Apr 2003,2
May 2003,5
Jun 2003,1
Jul 2003,4
Aug 2003,13
Sep 2003,16
Oct 2003,16
Nov 2003,14
Dec 2003,32
Jan 2004,26
Feb 2004,52
Mar 2004,69
Apr 2004,74
May 2004,109
Jun 2004,131
Jul 2004,240
Aug 2004,310
Sep 2004,357
Oct 2004,413
Nov 2004,421
Dec 2004,478
Jan 2005,477
Feb 2005,422
Mar 2005,661
Apr 2005,623
May 2005,720
Jun 2005,816
Jul 2005,842
Aug 2005,958
Sep 2005,926
Oct 2005,972
Nov 2005,1044
Dec 2005,830
Jan 2006,915
Feb 2006,1000
Mar 2006,1092
Apr 2006,1007
May 2006,1097
Jun 2006,1120
Jul 2006,1146
Aug 2006,1355
Sep 2006,1244
Oct 2006,1288
Nov 2006,1281
Dec 2006,1247
Jan 2007,1266
Feb 2007,861
Mar 2007,1338
Apr 2007,1291
May 2007,1343
Jun 2007,1348
Jul 2007,1335
Aug 2007,1448
Sep 2007,1382
Oct 2007,1536
Nov 2007,1375
Dec 2007,1349
Jan 2008,1330
Feb 2008,1074
Mar 2008,1162
Apr 2008,1657
May 2008,1709
Jun 2008,1652
Jul 2008,1788
Aug 2008,1890
Sep 2008,1867
Oct 2008,1893
Nov 2008,1782
Dec 2008,1689
Jan 2009,1388
Feb 2009,1953
Mar 2009,2177
Apr 2009,2151
May 2009,1940
Jun 2009,2025
Jul 2009,2135
Aug 2009,1986
Sep 2009,1901
Oct 2009,1834
Nov 2009,1733
Dec 2009,1699
Jan 2010,1769
Feb 2010,1470
Mar 2010,2183
Apr 2010,2518
May 2010,2643
Jun 2010,2459
Jul 2010,2333
Aug 2010,2466
Sep 2010,2307
Oct 2010,2348
Nov 2010,2193
Dec 2010,2063
Jan 2011,2973
Feb 2011,3872
Mar 2011,4834
Apr 2011,4548
May 2011,5211
Jun 2011,4658
Jul 2011,3984
Aug 2011,4191
Sep 2011,3947
Oct 2011,3891
Nov 2011,3743
Dec 2011,3588
Jan 2012,3118
Feb 2012,3495
Mar 2012,3614
Apr 2012,3335
May 2012,3200
Jun 2012,3340
Jul 2012,2946
Aug 2012,2952
Sep 2012,2744
Oct 2012,2562
Nov 2012,2544
Dec 2012,2044
Jan 2013,2748
Feb 2013,2697
Mar 2013,2527
Apr 2013,2344
May 2013,2462
Jun 2013,2253
Jul 2013,2088
Aug 2013,2094
Sep 2013,1857
Oct 2013,1752
Nov 2013,1577
Dec 2013,1487
Jan 2014,1764
Feb 2014,1664
Mar 2014,2199
Apr 2014,2256
May 2014,2234
Jun 2014,2471
Jul 2014,2529
Aug 2014,530
