date,price
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,0
Jul 2010,0
Aug 2010,0
Sep 2010,0
Oct 2010,0
Nov 2010,0
Dec 2010,0
Jan 2011,0
Feb 2011,0
Mar 2011,0
Apr 2011,0
May 2011,0
Jun 2011,0
Jul 2011,0
Aug 2011,0
Sep 2011,0
Oct 2011,0
Nov 2011,0
Dec 2011,0
Jan 2012,0
Feb 2012,0
Mar 2012,0
Apr 2012,0
May 2012,0
Jun 2012,0
Jul 2012,0
Aug 2012,0
Sep 2012,0
Oct 2012,214
Nov 2012,1347
Dec 2012,460
Jan 2013,521
Feb 2013,55
Mar 2013,129
Apr 2013,101
May 2013,74
Jun 2013,165
Jul 2013,329
Aug 2013,758
Sep 2013,1176
Oct 2013,975
Nov 2013,403
Dec 2013,383
Jan 2014,286
Feb 2014,261
Mar 2014,220
Apr 2014,156
May 2014,198
Jun 2014,275
Jul 2014,364
Aug 2014,235
Sep 2014,203
Oct 2014,155
Nov 2014,534
Dec 2014,353
