date,price
Nov 2009,6
Dec 2009,27
Jan 2010,12
Feb 2010,29
Mar 2010,32
Apr 2010,57
May 2010,42
Jun 2010,36
Jul 2010,36
Aug 2010,83
Sep 2010,41
Oct 2010,72
Nov 2010,51
Dec 2010,127
Jan 2011,20
Feb 2011,46
Mar 2011,116
Apr 2011,137
May 2011,124
Jun 2011,104
Jul 2011,69
Aug 2011,148
Sep 2011,107
Oct 2011,261
Nov 2011,267
Dec 2011,404
Jan 2012,240
Feb 2012,294
Mar 2012,622
Apr 2012,472
May 2012,988
Jun 2012,297
Jul 2012,274
Aug 2012,1209
Sep 2012,283
Oct 2012,527
Nov 2012,1227
Dec 2012,679
Jan 2013,715
Feb 2013,703
Mar 2013,1067
Apr 2013,1832
May 2013,1200
Jun 2013,1527
Jul 2013,815
Aug 2013,1833
Sep 2013,572
Oct 2013,432
Nov 2013,843
Dec 2013,924
Jan 2014,434
Feb 2014,389
Mar 2014,3510
Apr 2014,2360
May 2014,1935
Jun 2014,4049
Jul 2014,2193
Aug 2014,4194
Sep 2014,2114
Oct 2014,2527
Nov 2014,4539
Dec 2014,1051
