date,price
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,0
Jul 2010,96
Aug 2010,57
Sep 2010,54
Oct 2010,64
Nov 2010,144
Dec 2010,508
Jan 2011,172
Feb 2011,56
Mar 2011,1267
Apr 2011,181
May 2011,248
Jun 2011,374
Jul 2011,291
Aug 2011,323
Sep 2011,599
Oct 2011,549
Nov 2011,525
Dec 2011,368
Jan 2012,545
Feb 2012,740
Mar 2012,1090
Apr 2012,738
May 2012,527
Jun 2012,451
Jul 2012,972
Aug 2012,1197
Sep 2012,1060
Oct 2012,1191
Nov 2012,1680
Dec 2012,1249
Jan 2013,638
Feb 2013,672
Mar 2013,1550
Apr 2013,2575
May 2013,1121
Jun 2013,1653
Jul 2013,1911
Aug 2013,4850
Sep 2013,2587
Oct 2013,3057
Nov 2013,2321
Dec 2013,3217
Jan 2014,1699
Feb 2014,1834
Mar 2014,1743
Apr 2014,1821
May 2014,4822
Jun 2014,4339
Jul 2014,6735
Aug 2014,5664
Sep 2014,4415
Oct 2014,4393
Nov 2014,3347
Dec 2014,768
