date,price
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,0
Jul 2010,0
Aug 2010,0
Sep 2010,0
Oct 2010,0
Nov 2010,0
Dec 2010,0
Jan 2011,0
Feb 2011,0
Mar 2011,0
Apr 2011,0
May 2011,0
Jun 2011,0
Jul 2011,0
Aug 2011,0
Sep 2011,0
Oct 2011,0
Nov 2011,24
Dec 2011,74
Jan 2012,90
Feb 2012,89
Mar 2012,152
Apr 2012,160
May 2012,380
Jun 2012,456
Jul 2012,760
Aug 2012,581
Sep 2012,251
Oct 2012,665
Nov 2012,518
Dec 2012,331
Jan 2013,507
Feb 2013,814
Mar 2013,652
Apr 2013,803
May 2013,587
Jun 2013,1085
Jul 2013,614
Aug 2013,905
Sep 2013,979
Oct 2013,836
Nov 2013,526
Dec 2013,385
Jan 2014,268
Feb 2014,1357
Mar 2014,576
Apr 2014,314
May 2014,355
Jun 2014,262
Jul 2014,1576
Aug 2014,456
Sep 2014,574
Oct 2014,1166
Nov 2014,387
Dec 2014,810
