date,price
Feb 2003,2
Mar 2003,1
Apr 2003,3
May 2003,6
Jun 2003,1
Jul 2003,9
Aug 2003,24
Sep 2003,39
Oct 2003,34
Nov 2003,28
Dec 2003,87
Jan 2004,68
Feb 2004,121
Mar 2004,190
Apr 2004,170
May 2004,247
Jun 2004,380
Jul 2004,694
Aug 2004,919
Sep 2004,1052
Oct 2004,1261
Nov 2004,1309
Dec 2004,1414
Jan 2005,1444
Feb 2005,1313
Mar 2005,2070
Apr 2005,1975
May 2005,2259
Jun 2005,2605
Jul 2005,2622
Aug 2005,3084
Sep 2005,2862
Oct 2005,3148
Nov 2005,3601
Dec 2005,3122
Jan 2006,2861
Feb 2006,2992
Mar 2006,3371
Apr 2006,3024
May 2006,3370
Jun 2006,3677
Jul 2006,3882
Aug 2006,4686
Sep 2006,4342
Oct 2006,4125
Nov 2006,3890
Dec 2006,3816
Jan 2007,3748
Feb 2007,2293
Mar 2007,3973
Apr 2007,3757
May 2007,4135
Jun 2007,3939
Jul 2007,4050
Aug 2007,4441
Sep 2007,4031
Oct 2007,4864
Nov 2007,4092
Dec 2007,3887
Jan 2008,4198
Feb 2008,2907
Mar 2008,2738
Apr 2008,5245
May 2008,5718
Jun 2008,5377
Jul 2008,5827
Aug 2008,6102
Sep 2008,5983
Oct 2008,5920
Nov 2008,5467
Dec 2008,4778
Jan 2009,3844
Feb 2009,5663
Mar 2009,6554
Apr 2009,6310
May 2009,5642
Jun 2009,6101
Jul 2009,6219
Aug 2009,5683
Sep 2009,5249
Oct 2009,5006
Nov 2009,4455
Dec 2009,4449
Jan 2010,4321
Feb 2010,3288
Mar 2010,5027
Apr 2010,5227
May 2010,5384
Jun 2010,5055
Jul 2010,4806
Aug 2010,5146
Sep 2010,4830
Oct 2010,5037
Nov 2010,4574
Dec 2010,4465
Jan 2011,6132
Feb 2011,8144
Mar 2011,10637
Apr 2011,9727
May 2011,11560
Jun 2011,10164
Jul 2011,8332
Aug 2011,9023
Sep 2011,8225
Oct 2011,8099
Nov 2011,7931
Dec 2011,7697
Jan 2012,6194
Feb 2012,7199
Mar 2012,7932
Apr 2012,7221
May 2012,7464
Jun 2012,6782
Jul 2012,6582
Aug 2012,6686
Sep 2012,5847
Oct 2012,5933
Nov 2012,5554
Dec 2012,5251
Jan 2013,5213
Feb 2013,3868
Mar 2013,5686
Apr 2013,5798
May 2013,5049
Jun 2013,4469
Jul 2013,5239
Aug 2013,4721
Sep 2013,4556
Oct 2013,4347
Nov 2013,3765
Dec 2013,3348
Jan 2014,3112
Feb 2014,2910
Mar 2014,3533
Apr 2014,3232
May 2014,4162
Jun 2014,4500
Jul 2014,4697
Aug 2014,769
